start_s,end_s,label
7.12,10.16,rally
15.56,21.68,rally
36.72,43.88,rally
73.44,79.08,rally
95.68,99.32,rally
114.68,116.2,rally
131.52,142.2,rally
235.48,237.8,rally
243.92,248.16,rally
261.92,264.0,rally
269.24,275.12,rally
293.44,297.2,rally
309.88,316.08,rally
335.88,338.28,rally
344.88,350.28,rally
389.12,394.84,rally
412.08,414.72,rally
419.76,424.68,rally
453.96,458.32,rally
477.72,483.88,rally
501.56,506.96,rally
524.0,527.76,rally
550.0,562.48,rally
584.4,588.52,rally
687.52,690.6,rally
704.52,707.4,rally
721.08,725.68,rally
741.28,743.64,rally
755.96,762.24,rally
779.56,782.2,rally
812.16,814.64,rally
820.76,857.8,rally
892.32,894.88,rally
