start_s,end_s,label
13.72,15.72,rally
26.84,32.2,rally
55.88,57.96,rally
67.32,71.28,rally
93.56,97.24,rally
183.6,185.48,rally
191.44,196.04,rally
213.28,216.2,rally
221.68,235.76,rally
251.4,253.68,rally
259.8,262.88,rally
277.36,281.6,rally
297.4,301.04,rally
334.64,340.0,rally
358.4,369.0,rally
387.32,390.56,rally
408.08,410.64,rally
417.76,423.28,rally
443.52,445.96,rally
454.0,459.56,rally
486.28,507.84,rally
542.04,576.84,rally
652.8,659.48,rally
685.8,689.84,rally
712.4,726.52,rally
759.44,761.68,rally
774.44,792.64,rally
832.48,841.96,rally
872.64,887.6,rally
