start_s,end_s,label
1.32,12.64,rally
28.64,30.64,rally
36.76,46.64,rally
66.88,72.8,rally
90.56,112.68,rally
142.72,144.76,rally
150.96,171.24,rally
204.16,211.16,rally
282.68,301.76,rally
332.36,334.56,rally
342.96,351.04,rally
377.08,384.96,rally
413.08,419.96,rally
458.2,461.56,rally
472.64,474.84,rally
482.04,485.72,rally
503.08,505.24,rally
511.56,524.12,rally
540.36,544.36,rally
665.76,668.04,rally
676.48,682.76,rally
705.4,707.64,rally
715.64,720.2,rally
743.44,745.76,rally
754.4,757.56,rally
786.76,798.16,rally
824.56,830.68,rally
867.4,878.52,rally
