start_s,end_s,label
9.64,20.36,rally
48.8,51.12,rally
64.32,69.72,rally
96.4,98.68,rally
125.68,139.84,rally
168.36,172.76,rally
193.24,211.92,rally
240.56,244.28,rally
260.28,264.56,rally
281.96,285.56,rally
302.2,304.44,rally
321.96,325.16,rally
340.36,349.48,rally
440.2,451.48,rally
472.44,474.64,rally
485.76,500.0,rally
528.8,530.64,rally
541.0,545.64,rally
566.56,568.48,rally
587.08,589.04,rally
598.64,606.32,rally
629.88,643.64,rally
661.76,668.76,rally
687.2,696.12,rally
723.24,729.16,rally
821.44,823.72,rally
833.88,836.56,rally
852.52,854.76,rally
864.36,873.64,rally
894.44,897.2,rally
