start_s,end_s,label
82.12,85.2,rally
95.28,97.08,rally
102.28,105.32,rally
118.88,129.96,rally
146.96,149.08,rally
155.08,172.84,rally
196.32,202.48,rally
227.16,228.04,rally
233.8,236.6,rally
255.68,261.08,rally
278.88,282.2,rally
297.24,300.0,rally
334.84,337.4,rally
355.92,359.8,rally
377.96,380.68,rally
388.24,390.6,rally
412.64,414.76,rally
422.92,426.52,rally
446.4,452.28,rally
579.16,587.8,rally
604.04,613.0,rally
641.48,662.04,rally
684.96,690.0,rally
709.32,723.52,rally
750.48,753.36,rally
760.24,781.36,rally
828.56,831.12,rally
839.16,849.44,rally
876.96,881.6,rally
