start_s,end_s,label
6.76,12.64,rally
43.32,46.28,rally
58.96,62.56,rally
80.88,95.68,rally
122.24,124.8,rally
131.4,148.88,rally
170.52,172.8,rally
180.44,185.4,rally
202.8,205.24,rally
229.32,231.88,rally
238.64,243.08,rally
260.84,262.84,rally
270.84,275.2,rally
295.12,296.84,rally
401.6,413.6,rally
439.64,441.88,rally
452.16,472.64,rally
507.8,510.16,rally
534.12,539.04,rally
565.24,568.12,rally
588.48,590.84,rally
601.0,603.76,rally
628.68,634.68,rally
658.96,672.76,rally
709.24,711.56,rally
740.36,742.24,rally
754.04,759.32,rally
773.84,775.96,rally
782.16,798.96,rally
822.72,825.16,rally
831.72,847.36,rally
869.2,874.68,rally
