start_s,end_s,label
10.88,15.76,rally
42.8,44.8,rally
53.56,56.36,rally
88.92,90.8,rally
98.8,111.72,rally
143.16,148.4,rally
180.4,184.96,rally
198.12,205.08,rally
223.56,227.96,rally
246.48,248.28,rally
254.04,271.52,rally
303.04,305.16,rally
311.68,316.76,rally
337.0,339.96,rally
344.72,377.68,rally
413.28,417.28,rally
435.48,437.2,rally
444.16,452.16,rally
578.12,580.04,rally
602.04,608.6,rally
632.84,637.48,rally
668.92,670.6,rally
678.6,682.6,rally
710.48,715.36,rally
739.64,745.44,rally
772.8,776.28,rally
787.12,791.52,rally
806.04,808.96,rally
814.72,817.6,rally
837.64,840.44,rally
845.64,871.96,rally
